Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,AUSTRIA,0.01,52.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,BELGIUM,0.87,10700.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,CANADA,,
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,CHINA P RP,0.65,9760.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,CONGO D. REP.,1.7,21606.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,CONGO P REP,,
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,FINLAND,,
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,FRANCE,0.16,2019.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,GERMANY,0.03,166.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,ITALY,0.02,250.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,JAPAN,1.57,21000.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,KOREA RP,,
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,MADAGASCAR,,
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,MOROCCO,0.16,2000.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,NETHERLAND,0.24,3075.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,NORWAY,0.08,2000.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,U K,0.03,850.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,U S A,1.61,28180.0
2018-2019,Cobalt-UnwroughtMetalPowders,81052010,Import,ZAMBIA,,
2019-2020,Cobalt-UnwroughtMetalPowders,81052010,Import,AUSTRIA,0.0,59.0
2019-2020,Cobalt-UnwroughtMetalPowders,81052010,Import,BELGIUM,1.91,54504.0
2019-2020,Cobalt-UnwroughtMetalPowders,81052010,Import,CHINA P RP,0.55,12301.0
2019-2020,Cobalt-UnwroughtMetalPowders,81052010,Import,CONGO D. REP.,0.72,21089.0
2019-2020,Cobalt-UnwroughtMetalPowders,81052010,Import,FRANCE,0.06,870.0
