Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.01,13407.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.02,16000.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,18000.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.03,2340.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,0.0,20000.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,,
2018-2019,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.0,10.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,18.83,13389116.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,DENMARK,,
2018-2019,Graphite-ArtificialGraphite,38011000,Import,EGYPT A RP,0.0,15.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,FRANCE,0.56,70604.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,GERMANY,1.35,365881.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.1,142023.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,INDONESIA,0.01,25000.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.09,20346.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,JAPAN,2.91,406795.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.08,6997.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.94,1634022.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,MEXICO,0.0,249.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.07,12930.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,NORWAY,2.39,2846000.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,OMAN,0.07,251966.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.42,571000.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.08,140000.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SPAIN,,
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.05,16001.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.46,82985.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,THAILAND,0.03,22900.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.02,7250.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,U K,0.03,18410.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,U S A,1.85,833639.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,UNSPECIFIED,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.02,31213.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.0,2000.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,15000.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.02,5457.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,0.01,25000.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,0.0,1.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.01,36.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,14.68,18414804.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.0,3000.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,EGYPT A RP,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,FRANCE,2.28,373328.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,GERMANY,0.52,183976.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.17,201405.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,INDONESIA,0.01,20000.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.12,37800.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,JAPAN,2.67,340644.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.31,27995.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.27,868040.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,MEXICO,0.0,227.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.1,27027.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,NORWAY,2.52,3090500.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,OMAN,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.07,13107.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.01,248.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.1,35000.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.15,27745.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,TAIWAN,0.0,200.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,THAILAND,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,U K,0.04,10857.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,U S A,1.39,514171.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.01,14000.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,,
2020-2021,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,13000.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.28,53478.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,,
2020-2021,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,,
2020-2021,Graphite-ArtificialGraphite,38011000,Import,CANADA,,
2020-2021,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,15.36,20891592.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.02,10300.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,FRANCE,0.63,100029.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,GERMANY,0.82,287979.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.23,310080.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,INDONESIA,,
2020-2021,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.18,54015.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,JAPAN,1.81,249451.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.22,18246.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.25,696000.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,MEXICO,0.0,227.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.01,602.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,NORWAY,2.51,3368000.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.0,5.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.0,2.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.0,120.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.26,77522.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.46,78923.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,TAIWAN,0.03,5130.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,THAILAND,0.0,1.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.0,145.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,U K,0.12,115379.0
2020-2021,Graphite-ArtificialGraphite,38011000,Import,U S A,1.66,497985.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.01,13905.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.0,68.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,12000.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,1.03,799341.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,0.08,78720.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.03,1546.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,29.58,24648478.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.05,28000.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,FRANCE,1.27,261399.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,GERMANY,1.72,730335.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.19,190996.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.33,82185.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,JAPAN,2.22,531919.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.46,37810.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.75,1596839.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,MEXICO,,
2021-2022,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.1,14724.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,NORWAY,0.82,1479742.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,OMAN,0.02,97890.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.2,96992.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,RUSSIA,0.03,24250.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SAUDI ARAB,0.01,19330.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.05,40265.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SOUTH AFRICA,0.54,638800.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.0,15.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.58,164019.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.48,85691.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,TAIWAN,,
2021-2022,Graphite-ArtificialGraphite,38011000,Import,THAILAND,,
2021-2022,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.0,
2021-2022,Graphite-ArtificialGraphite,38011000,Import,U K,0.13,75627.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,U S A,2.72,503075.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.02,13649.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.08,58400.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,13000.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.71,414816.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,0.02,14027.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.0,68.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,53.7,41661268.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.09,68065.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,FRANCE,1.7,359833.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,GERMANY,2.71,1225919.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.04,11817.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.22,43432.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,JAPAN,2.82,451165.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.34,30581.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.4,812183.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.28,171696.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,NORWAY,,
2022-2023,Graphite-ArtificialGraphite,38011000,Import,OMAN,0.0,14790.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.02,4560.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,RUSSIA,,
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SAUDI ARAB,,
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.0,
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SLOVENIA,0.06,21200.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SOUTH AFRICA,0.84,660001.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.0,66.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SRI LANKA DSR,0.0,500.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.3,84134.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.36,57015.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,TAIWAN,0.0,4.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.11,277340.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,U K,0.42,235862.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,U S A,2.58,255881.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.01,14015.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.19,109000.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,,
2023-2024,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.14,43527.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,0.0,17700.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,0.02,26000.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.03,1512.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,53.69,58407512.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.03,14000.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,FRANCE,1.27,252825.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,GERMANY,1.27,669557.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.51,737547.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.06,8550.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,JAPAN,2.59,391955.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.41,39518.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.38,807735.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.4,360776.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,NORWAY,0.15,144000.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,OMAN,,
2023-2024,Graphite-ArtificialGraphite,38011000,Import,POLAND,,
2023-2024,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.01,102462.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,SLOVENIA,,
2023-2024,Graphite-ArtificialGraphite,38011000,Import,SOUTH AFRICA,1.22,1180000.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.07,440.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,SRI LANKA DSR,,
2023-2024,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.24,56864.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.56,77332.0
