Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,LithiumHydroxide,28252000,Import,BELGIUM,8.88,510002.0
2018-2019,LithiumHydroxide,28252000,Import,CANADA,0.0,
2018-2019,LithiumHydroxide,28252000,Import,CHILE,,
2018-2019,LithiumHydroxide,28252000,Import,CHINA P RP,15.85,936907.0
2018-2019,LithiumHydroxide,28252000,Import,GERMANY,0.68,23269.0
2018-2019,LithiumHydroxide,28252000,Import,HONG KONG,0.0,35.0
2018-2019,LithiumHydroxide,28252000,Import,IRELAND,0.0,20.0
2018-2019,LithiumHydroxide,28252000,Import,JAPAN,0.37,20000.0
2018-2019,LithiumHydroxide,28252000,Import,JORDAN,,
2018-2019,LithiumHydroxide,28252000,Import,NETHERLAND,0.41,25100.0
2018-2019,LithiumHydroxide,28252000,Import,RUSSIA,4.07,209000.0
2018-2019,LithiumHydroxide,28252000,Import,SINGAPORE,0.77,50014.0
2018-2019,LithiumHydroxide,28252000,Import,SWITZERLAND,0.32,20000.0
2018-2019,LithiumHydroxide,28252000,Import,TAIWAN,0.0,425.0
2018-2019,LithiumHydroxide,28252000,Import,U K,0.01,736.0
2018-2019,LithiumHydroxide,28252000,Import,U S A,0.25,20009.0
2019-2020,LithiumHydroxide,28252000,Import,BELGIUM,7.42,
2019-2020,LithiumHydroxide,28252000,Import,CANADA,0.0,
2019-2020,LithiumHydroxide,28252000,Import,CHILE,0.37,
2019-2020,LithiumHydroxide,28252000,Import,CHINA P RP,3.01,
2019-2020,LithiumHydroxide,28252000,Import,GERMANY,0.5,
2019-2020,LithiumHydroxide,28252000,Import,HONG KONG,0.21,
2019-2020,LithiumHydroxide,28252000,Import,IRELAND,,
2019-2020,LithiumHydroxide,28252000,Import,JAPAN,0.52,
2019-2020,LithiumHydroxide,28252000,Import,LATVIA,1.18,
2019-2020,LithiumHydroxide,28252000,Import,NETHERLAND,0.06,
2019-2020,LithiumHydroxide,28252000,Import,RUSSIA,5.27,
2019-2020,LithiumHydroxide,28252000,Import,SINGAPORE,,
2019-2020,LithiumHydroxide,28252000,Import,SWITZERLAND,0.0,
2019-2020,LithiumHydroxide,28252000,Import,TAIWAN,,
2019-2020,LithiumHydroxide,28252000,Import,U ARAB EMTS,0.0,
2019-2020,LithiumHydroxide,28252000,Import,U K,0.0,
2019-2020,LithiumHydroxide,28252000,Import,U S A,0.07,
2020-2021,LithiumHydroxide,28252000,Import,BELGIUM,1.88,
2020-2021,LithiumHydroxide,28252000,Import,CANADA,,
2020-2021,LithiumHydroxide,28252000,Import,CHILE,3.33,
2020-2021,LithiumHydroxide,28252000,Import,CHINA P RP,3.01,
2020-2021,LithiumHydroxide,28252000,Import,CZECH REPUBLIC,0.04,
2020-2021,LithiumHydroxide,28252000,Import,GERMANY,0.32,
2020-2021,LithiumHydroxide,28252000,Import,HONG KONG,,
2020-2021,LithiumHydroxide,28252000,Import,JAPAN,0.0,
2020-2021,LithiumHydroxide,28252000,Import,LATVIA,2.41,
2020-2021,LithiumHydroxide,28252000,Import,NETHERLAND,0.0,
2020-2021,LithiumHydroxide,28252000,Import,RUSSIA,5.36,
2020-2021,LithiumHydroxide,28252000,Import,SWITZERLAND,0.0,
2020-2021,LithiumHydroxide,28252000,Import,U ARAB EMTS,0.13,
2020-2021,LithiumHydroxide,28252000,Import,U K,0.14,
2020-2021,LithiumHydroxide,28252000,Import,U S A,0.0,
2021-2022,LithiumHydroxide,28252000,Import,BELGIUM,5.75,
2021-2022,LithiumHydroxide,28252000,Import,CHILE,,
2021-2022,LithiumHydroxide,28252000,Import,CHINA P RP,2.06,
2021-2022,LithiumHydroxide,28252000,Import,CZECH REPUBLIC,,
2021-2022,LithiumHydroxide,28252000,Import,FRANCE,0.0,
2021-2022,LithiumHydroxide,28252000,Import,GERMANY,0.27,
2021-2022,LithiumHydroxide,28252000,Import,JAPAN,,
2021-2022,LithiumHydroxide,28252000,Import,LATVIA,1.62,
2021-2022,LithiumHydroxide,28252000,Import,NETHERLAND,,
2021-2022,LithiumHydroxide,28252000,Import,RUSSIA,11.35,
2021-2022,LithiumHydroxide,28252000,Import,SINGAPORE,2.71,
2021-2022,LithiumHydroxide,28252000,Import,SWITZERLAND,,
2021-2022,LithiumHydroxide,28252000,Import,U ARAB EMTS,4.29,
2021-2022,LithiumHydroxide,28252000,Import,U K,0.93,
2021-2022,LithiumHydroxide,28252000,Import,U S A,0.01,
2022-2023,LithiumHydroxide,28252000,Import,BELGIUM,34.45,
2022-2023,LithiumHydroxide,28252000,Import,CHINA P RP,4.05,
2022-2023,LithiumHydroxide,28252000,Import,FRANCE,,
2022-2023,LithiumHydroxide,28252000,Import,GERMANY,1.24,
2022-2023,LithiumHydroxide,28252000,Import,KENYA,0.06,
2022-2023,LithiumHydroxide,28252000,Import,KOREA RP,0.86,
2022-2023,LithiumHydroxide,28252000,Import,LATVIA,1.14,
2022-2023,LithiumHydroxide,28252000,Import,NETHERLAND,1.17,
2022-2023,LithiumHydroxide,28252000,Import,RUSSIA,10.91,
2022-2023,LithiumHydroxide,28252000,Import,SINGAPORE,2.73,
2022-2023,LithiumHydroxide,28252000,Import,U ARAB EMTS,11.19,
2022-2023,LithiumHydroxide,28252000,Import,U K,0.19,
2022-2023,LithiumHydroxide,28252000,Import,U S A,0.64,
2023-2024,LithiumHydroxide,28252000,Import,BELGIUM,9.03,383925.0
2023-2024,LithiumHydroxide,28252000,Import,CHINA P RP,5.21,228290.0
2023-2024,LithiumHydroxide,28252000,Import,GERMANY,1.43,32149.0
2023-2024,LithiumHydroxide,28252000,Import,HONG KONG,0.61,20001.0
2023-2024,LithiumHydroxide,28252000,Import,JAPAN,0.66,36009.0
2023-2024,LithiumHydroxide,28252000,Import,KENYA,,
2023-2024,LithiumHydroxide,28252000,Import,KOREA RP,,
2023-2024,LithiumHydroxide,28252000,Import,LATVIA,0.39,20000.0
2023-2024,LithiumHydroxide,28252000,Import,NETHERLAND,,
2023-2024,LithiumHydroxide,28252000,Import,RUSSIA,9.27,304002.0
2023-2024,LithiumHydroxide,28252000,Import,SINGAPORE,,
2023-2024,LithiumHydroxide,28252000,Import,TANZANIA REP,0.01,24000.0
2023-2024,LithiumHydroxide,28252000,Import,U ARAB EMTS,3.01,85065.0
2023-2024,LithiumHydroxide,28252000,Import,U K,0.0,127.0
2023-2024,LithiumHydroxide,28252000,Import,U S A,0.33,13938.0
2024-2025,LithiumHydroxide,28252000,Import,ARGENTINA,1.1,139212.0
2024-2025,LithiumHydroxide,28252000,Import,AUSTRALIA,0.0,3.0
2024-2025,LithiumHydroxide,28252000,Import,BELGIUM,8.08,769000.0
2024-2025,LithiumHydroxide,28252000,Import,CHILE,0.87,80000.0
2024-2025,LithiumHydroxide,28252000,Import,CHINA P RP,9.16,720066.0
2024-2025,LithiumHydroxide,28252000,Import,GERMANY,0.85,30328.0
2024-2025,LithiumHydroxide,28252000,Import,HONG KONG,,
2024-2025,LithiumHydroxide,28252000,Import,JAPAN,0.4,37901.0
2024-2025,LithiumHydroxide,28252000,Import,KOREA RP,0.0,20.0
2024-2025,LithiumHydroxide,28252000,Import,LATVIA,,
2024-2025,LithiumHydroxide,28252000,Import,RUSSIA,1.69,120000.0
2024-2025,LithiumHydroxide,28252000,Import,TANZANIA REP,,
2024-2025,LithiumHydroxide,28252000,Import,U ARAB EMTS,0.07,6000.0
2024-2025,LithiumHydroxide,28252000,Import,U K,0.57,50000.0
2024-2025,LithiumHydroxide,28252000,Import,U S A,0.5,37779.0
