Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,RareEarthMetal-Compounds,28461010,Import,AUSTRIA,,
2018-2019,RareEarthMetal-Compounds,28461010,Import,BELGIUM,0.01,520.0
2018-2019,RareEarthMetal-Compounds,28461010,Import,CHINA P RP,0.33,98701.0
2018-2019,RareEarthMetal-Compounds,28461010,Import,FRANCE,0.01,400.0
2018-2019,RareEarthMetal-Compounds,28461010,Import,GERMANY,0.0,250.0
2018-2019,RareEarthMetal-Compounds,28461010,Import,JAPAN,0.02,670.0
2018-2019,RareEarthMetal-Compounds,28461010,Import,KOREA RP,0.04,1400.0
2018-2019,RareEarthMetal-Compounds,28461010,Import,MALAYSIA,,
2018-2019,RareEarthMetal-Compounds,28461010,Import,NORWAY,0.0,250.0
2018-2019,RareEarthMetal-Compounds,28461010,Import,POLAND,,
2018-2019,RareEarthMetal-Compounds,28461010,Import,SPAIN,,
2018-2019,RareEarthMetal-Compounds,28461010,Import,U K,0.02,752.0
2018-2019,RareEarthMetal-Compounds,28461010,Import,U S A,0.03,1012.0
2019-2020,RareEarthMetal-Compounds,28461010,Import,BELGIUM,0.0,1.0
2019-2020,RareEarthMetal-Compounds,28461010,Import,CHINA P RP,0.31,91000.0
2019-2020,RareEarthMetal-Compounds,28461010,Import,CZECH REPUBLIC,0.0,25.0
2019-2020,RareEarthMetal-Compounds,28461010,Import,FRANCE,0.0,
2019-2020,RareEarthMetal-Compounds,28461010,Import,GERMANY,0.0,251.0
2019-2020,RareEarthMetal-Compounds,28461010,Import,JAPAN,0.0,1.0
2019-2020,RareEarthMetal-Compounds,28461010,Import,KOREA RP,,
2019-2020,RareEarthMetal-Compounds,28461010,Import,NORWAY,,
2019-2020,RareEarthMetal-Compounds,28461010,Import,U K,0.19,10505.0
2019-2020,RareEarthMetal-Compounds,28461010,Import,U S A,0.02,712.0
2020-2021,RareEarthMetal-Compounds,28461010,Import,BELGIUM,0.0,3.0
2020-2021,RareEarthMetal-Compounds,28461010,Import,CHINA P RP,1.12,134000.0
2020-2021,RareEarthMetal-Compounds,28461010,Import,CZECH REPUBLIC,,
2020-2021,RareEarthMetal-Compounds,28461010,Import,ESTONIA,0.0,100.0
2020-2021,RareEarthMetal-Compounds,28461010,Import,FRANCE,,
2020-2021,RareEarthMetal-Compounds,28461010,Import,GERMANY,0.2,10400.0
