Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,RareEarthMetal-FerroAlloys,72029921,Import,CHINA P RP,0.57,295000.0
2018-2019,RareEarthMetal-FerroAlloys,72029921,Import,U ARAB EMTS,0.0,2000.0
2019-2020,RareEarthMetal-FerroAlloys,72029921,Import,CHINA P RP,0.58,342000.0
2019-2020,RareEarthMetal-FerroAlloys,72029921,Import,U ARAB EMTS,,
2020-2021,RareEarthMetal-FerroAlloys,72029921,Import,CHINA P RP,0.62,346000.0
2020-2021,RareEarthMetal-FerroAlloys,72029921,Import,HONG KONG,0.05,15000.0
2020-2021,RareEarthMetal-FerroAlloys,72029921,Import,U ARAB EMTS,0.02,8000.0
2020-2021,RareEarthMetal-FerroAlloys,72029921,Import,U K,0.0,5000.0
2021-2022,RareEarthMetal-FerroAlloys,72029921,Import,CHINA P RP,1.24,512000.0
2021-2022,RareEarthMetal-FerroAlloys,72029921,Import,HONG KONG,,
2021-2022,RareEarthMetal-FerroAlloys,72029921,Import,NETHERLAND,0.04,8000.0
2021-2022,RareEarthMetal-FerroAlloys,72029921,Import,U ARAB EMTS,0.0,2000.0
2021-2022,RareEarthMetal-FerroAlloys,72029921,Import,U K,,
2022-2023,RareEarthMetal-FerroAlloys,72029921,Import,CHINA P RP,1.96,636530.0
2022-2023,RareEarthMetal-FerroAlloys,72029921,Import,HONG KONG,0.05,10000.0
2022-2023,RareEarthMetal-FerroAlloys,72029921,Import,NETHERLAND,,
2022-2023,RareEarthMetal-FerroAlloys,72029921,Import,U ARAB EMTS,,
2022-2023,RareEarthMetal-FerroAlloys,72029921,Import,U K,0.01,11334.0
2024-2025,RareEarthMetal-FerroAlloys,72029921,Import,CHINA P RP,2.24,790060.0
2024-2025,RareEarthMetal-FerroAlloys,72029921,Import,CZECH REPUBLIC,0.0,1000.0
2024-2025,RareEarthMetal-FerroAlloys,72029921,Import,GERMANY,0.0,427.0
2024-2025,RareEarthMetal-FerroAlloys,72029921,Import,HONG KONG,0.05,25000.0
2024-2025,RareEarthMetal-FerroAlloys,72029921,Import,MALAYSIA,0.02,3000.0
2024-2025,RareEarthMetal-FerroAlloys,72029921,Import,POLAND,,
