Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,Titanium-Ores,26140010,Import,AUSTRALIA,2.08,9338030.0
2018-2019,Titanium-Ores,26140010,Import,MALAYSIA,0.03,169000.0
2018-2019,Titanium-Ores,26140010,Import,MOZAMBIQUE,15.48,60084000.0
2018-2019,Titanium-Ores,26140010,Import,SOUTH AFRICA,,
2018-2019,Titanium-Ores,26140010,Import,SRI LANKA DSR,0.09,500000.0
2018-2019,Titanium-Ores,26140010,Import,U S A,0.0,
2018-2019,Titanium-Ores,26140010,Import,UKRAINE,0.02,54000.0
2019-2020,Titanium-Ores,26140010,Import,AUSTRALIA,,
2019-2020,Titanium-Ores,26140010,Import,MALAYSIA,0.21,1335000.0
2019-2020,Titanium-Ores,26140010,Import,MOZAMBIQUE,22.88,91132000.0
2019-2020,Titanium-Ores,26140010,Import,NETHERLAND,0.01,26000.0
2019-2020,Titanium-Ores,26140010,Import,NORWAY,3.26,15538000.0
2019-2020,Titanium-Ores,26140010,Import,SIERRA LEONE,0.01,26000.0
2019-2020,Titanium-Ores,26140010,Import,SRI LANKA DSR,0.06,309000.0
2019-2020,Titanium-Ores,26140010,Import,U S A,,
2019-2020,Titanium-Ores,26140010,Import,UKRAINE,,
2020-2021,Titanium-Ores,26140010,Import,CHINA P RP,0.09,120000.0
2020-2021,Titanium-Ores,26140010,Import,MALAYSIA,0.05,292000.0
2020-2021,Titanium-Ores,26140010,Import,MOZAMBIQUE,10.58,41623740.0
2020-2021,Titanium-Ores,26140010,Import,NETHERLAND,,
2020-2021,Titanium-Ores,26140010,Import,NORWAY,,
2020-2021,Titanium-Ores,26140010,Import,SIERRA LEONE,,
2020-2021,Titanium-Ores,26140010,Import,SRI LANKA DSR,0.06,266000.0
2020-2021,Titanium-Ores,26140010,Import,UKRAINE,0.02,56000.0
2021-2022,Titanium-Ores,26140010,Import,CHINA P RP,0.28,244406.0
2021-2022,Titanium-Ores,26140010,Import,MALAYSIA,0.14,452000.0
2021-2022,Titanium-Ores,26140010,Import,MOZAMBIQUE,21.68,56955000.0
2021-2022,Titanium-Ores,26140010,Import,SRI LANKA DSR,0.19,354093.0
2021-2022,Titanium-Ores,26140010,Import,UKRAINE,0.55,1369113.0
2022-2023,Titanium-Ores,26140010,Import,CHINA P RP,0.1,100800.0
2022-2023,Titanium-Ores,26140010,Import,MALAYSIA,1.25,3158636.0
2022-2023,Titanium-Ores,26140010,Import,MOZAMBIQUE,10.94,20002700.0
2022-2023,Titanium-Ores,26140010,Import,SOMALIA,0.01,92000.0
2022-2023,Titanium-Ores,26140010,Import,SRI LANKA DSR,0.97,1827000.0
2022-2023,Titanium-Ores,26140010,Import,THAILAND,1.34,2496000.0
2022-2023,Titanium-Ores,26140010,Import,U ARAB EMTS,0.52,1000000.0
2022-2023,Titanium-Ores,26140010,Import,UKRAINE,,
2022-2023,Titanium-Ores,26140010,Import,VIETNAM SOC REP,0.27,594000.0
2023-2024,Titanium-Ores,26140010,Import,CHINA P RP,0.01,26000.0
2023-2024,Titanium-Ores,26140010,Import,EGYPT A RP,0.16,459000.0
2023-2024,Titanium-Ores,26140010,Import,MALAYSIA,0.67,1836000.0
2023-2024,Titanium-Ores,26140010,Import,MOZAMBIQUE,16.18,39920200.0
2023-2024,Titanium-Ores,26140010,Import,NEW ZEALAND,0.03,257000.0
2023-2024,Titanium-Ores,26140010,Import,SOMALIA,,
2023-2024,Titanium-Ores,26140010,Import,SRI LANKA DSR,,
2023-2024,Titanium-Ores,26140010,Import,THAILAND,0.14,364000.0
2023-2024,Titanium-Ores,26140010,Import,U ARAB EMTS,0.02,61000.0
2023-2024,Titanium-Ores,26140010,Import,VIETNAM SOC REP,,
2024-2025,Titanium-Ores,26140010,Import,CHINA P RP,0.08,56000.0
2024-2025,Titanium-Ores,26140010,Import,EGYPT A RP,,
2024-2025,Titanium-Ores,26140010,Import,INDONESIA,0.03,78000.0
2024-2025,Titanium-Ores,26140010,Import,KOREA RP,0.09,360000.0
2024-2025,Titanium-Ores,26140010,Import,MALAYSIA,0.38,1009000.0
2024-2025,Titanium-Ores,26140010,Import,MOZAMBIQUE,15.28,42214000.0
2024-2025,Titanium-Ores,26140010,Import,NEW ZEALAND,,
2024-2025,Titanium-Ores,26140010,Import,NORWAY,0.02,79000.0
2024-2025,Titanium-Ores,26140010,Import,SINGAPORE,0.02,52000.0
2024-2025,Titanium-Ores,26140010,Import,SOUTH AFRICA,0.06,280000.0
2024-2025,Titanium-Ores,26140010,Import,SRI LANKA DSR,0.17,468000.0
2024-2025,Titanium-Ores,26140010,Import,THAILAND,0.9,2262000.0
2024-2025,Titanium-Ores,26140010,Import,U ARAB EMTS,0.08,252000.0
