Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,Titanium-TitaniumDioxide,28230010,Import,AUSTRALIA,0.12,40000.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,BELGIUM,4.08,1108050.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,BRAZIL,0.0,
2018-2019,Titanium-TitaniumDioxide,28230010,Import,CANADA,0.75,160035.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,CHINA P RP,14.31,5886817.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,COLOMBIA,,
2018-2019,Titanium-TitaniumDioxide,28230010,Import,CZECH REPUBLIC,0.03,10000.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,EGYPT A RP,,
2018-2019,Titanium-TitaniumDioxide,28230010,Import,FINLAND,0.19,41400.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,FRANCE,0.62,78006.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,GERMANY,1.75,474154.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,HONG KONG,0.12,42025.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,IRAN,,
2018-2019,Titanium-TitaniumDioxide,28230010,Import,JAPAN,2.96,660768.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,KOREA RP,11.64,4820000.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,MALAYSIA,0.28,90000.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,MEXICO,0.07,20000.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,NETHERLAND,2.6,694275.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,PHILIPPINES,0.0,25.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,POLAND,0.01,2250.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,RUSSIA,0.3,120000.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,SINGAPORE,0.27,80330.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,SPAIN,0.07,20250.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,SRI LANKA DSR,0.0,2.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,SWITZERLAND,0.01,220.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,TAIWAN,0.14,40000.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,TURKEY,0.11,40000.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,U ARAB EMTS,0.04,20000.0
2018-2019,Titanium-TitaniumDioxide,28230010,Import,U K,,
2018-2019,Titanium-TitaniumDioxide,28230010,Import,U S A,0.54,96930.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,AUSTRALIA,0.06,20000.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,BELGIUM,1.84,525925.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,BRAZIL,,
2019-2020,Titanium-TitaniumDioxide,28230010,Import,CANADA,0.6,129034.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,CHINA P RP,12.97,5464410.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,CZECH REPUBLIC,0.0,1.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,FINLAND,,
2019-2020,Titanium-TitaniumDioxide,28230010,Import,FRANCE,0.24,33555.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,GERMANY,2.1,569981.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,HONG KONG,0.12,65913.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,ITALY,0.0,755.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,JAPAN,3.07,773364.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,KOREA RP,13.99,6350000.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,MALAYSIA,0.18,57500.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,MEXICO,0.5,140000.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,NETHERLAND,6.26,1780425.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,PHILIPPINES,,
2019-2020,Titanium-TitaniumDioxide,28230010,Import,POLAND,0.03,3195.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,RUSSIA,0.26,120000.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,SAUDI ARAB,0.0,
2019-2020,Titanium-TitaniumDioxide,28230010,Import,SINGAPORE,0.14,40000.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,SLOVENIA,0.0,3.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,SPAIN,,
2019-2020,Titanium-TitaniumDioxide,28230010,Import,SRI LANKA DSR,,
2019-2020,Titanium-TitaniumDioxide,28230010,Import,SWITZERLAND,,
2019-2020,Titanium-TitaniumDioxide,28230010,Import,TAIWAN,0.71,200000.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,TURKEY,,
2019-2020,Titanium-TitaniumDioxide,28230010,Import,U ARAB EMTS,0.0,1250.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,U K,0.0,9.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,U S A,0.48,140886.0
2019-2020,Titanium-TitaniumDioxide,28230010,Import,UGANDA,0.0,
2020-2021,Titanium-TitaniumDioxide,28230010,Import,AUSTRALIA,,
2020-2021,Titanium-TitaniumDioxide,28230010,Import,BELGIUM,1.66,463960.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,CANADA,0.85,176351.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,CHINA P RP,9.72,4322401.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,CZECH REPUBLIC,0.01,2000.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,FRANCE,0.06,6685.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,GERMANY,2.74,718976.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,HONG KONG,1.1,452001.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,INDONESIA,0.0,2.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,ITALY,0.0,9.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,JAPAN,2.39,795674.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,KOREA RP,12.7,5678000.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,MALAYSIA,0.04,8750.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,MEXICO,0.12,40000.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,NETHERLAND,1.56,392800.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,POLAND,0.03,2410.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,RUSSIA,0.27,140003.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,SAUDI ARAB,,
2020-2021,Titanium-TitaniumDioxide,28230010,Import,SINGAPORE,0.26,80000.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,SLOVENIA,,
2020-2021,Titanium-TitaniumDioxide,28230010,Import,SPAIN,0.01,1175.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,SRI LANKA DSR,0.0,
2020-2021,Titanium-TitaniumDioxide,28230010,Import,SWITZERLAND,0.0,
2020-2021,Titanium-TitaniumDioxide,28230010,Import,TAIWAN,0.41,106915.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,THAILAND,0.0,4.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,TURKEY,0.0,
2020-2021,Titanium-TitaniumDioxide,28230010,Import,U ARAB EMTS,,
2020-2021,Titanium-TitaniumDioxide,28230010,Import,U K,0.01,700.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,U S A,0.02,490.0
2020-2021,Titanium-TitaniumDioxide,28230010,Import,UGANDA,,
2021-2022,Titanium-TitaniumDioxide,28230010,Import,BELGIUM,1.82,452505.0
2021-2022,Titanium-TitaniumDioxide,28230010,Import,BRAZIL,0.0,1.0
2021-2022,Titanium-TitaniumDioxide,28230010,Import,CANADA,0.53,115560.0
2021-2022,Titanium-TitaniumDioxide,28230010,Import,CHINA P RP,14.14,4838010.0
2021-2022,Titanium-TitaniumDioxide,28230010,Import,CZECH REPUBLIC,,
2021-2022,Titanium-TitaniumDioxide,28230010,Import,FRANCE,0.04,4990.0
2021-2022,Titanium-TitaniumDioxide,28230010,Import,GERMANY,3.16,762699.0
