Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,Titanium-UnwroughtMetalPowders,81082000,Import,CANADA,0.14,700.0
2018-2019,Titanium-UnwroughtMetalPowders,81082000,Import,CHINA P RP,1.57,206480.0
2018-2019,Titanium-UnwroughtMetalPowders,81082000,Import,GERMANY,0.15,365.0
2018-2019,Titanium-UnwroughtMetalPowders,81082000,Import,KAZAKHSTAN,1.19,165000.0
2018-2019,Titanium-UnwroughtMetalPowders,81082000,Import,NETHERLAND,0.12,15000.0
2018-2019,Titanium-UnwroughtMetalPowders,81082000,Import,RUSSIA,0.11,18276.0
2018-2019,Titanium-UnwroughtMetalPowders,81082000,Import,U K,0.05,190.0
2018-2019,Titanium-UnwroughtMetalPowders,81082000,Import,U S A,0.02,160.0
2018-2019,Titanium-UnwroughtMetalPowders,81082000,Import,UKRAINE,1.57,200250.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,CANADA,0.08,365.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,CHINA P RP,1.19,152160.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,FRANCE,0.0,10.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,GERMANY,0.06,120.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,JAPAN,0.0,1.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,KAZAKHSTAN,0.34,45000.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,NETHERLAND,0.79,91000.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,RUSSIA,,
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,SWEDEN,0.05,300.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,SWITZERLAND,0.0,4.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,U K,0.06,519.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,U S A,0.1,472.0
2019-2020,Titanium-UnwroughtMetalPowders,81082000,Import,UKRAINE,1.18,140000.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,BELGIUM,0.29,57676.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,CANADA,,
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,CHINA P RP,2.0,240307.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,FRANCE,0.0,2.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,GERMANY,0.32,42215.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,JAPAN,,
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,KAZAKHSTAN,0.51,75000.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,NETHERLAND,0.64,75000.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,RUSSIA,0.14,24700.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,SWEDEN,0.05,300.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,SWITZERLAND,0.03,144.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,U K,0.0,
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,U S A,0.03,120.0
2020-2021,Titanium-UnwroughtMetalPowders,81082000,Import,UKRAINE,1.22,160000.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,BELGIUM,,
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,CANADA,0.12,1000.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,CHINA P RP,0.9,154318.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,FRANCE,,
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,GERMANY,0.02,55.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,KAZAKHSTAN,0.57,75000.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,NETHERLAND,0.45,60000.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,RUSSIA,3.99,468560.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,SWEDEN,0.03,178.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,SWITZERLAND,0.15,696.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,U K,0.56,60083.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,U S A,0.12,600.0
2021-2022,Titanium-UnwroughtMetalPowders,81082000,Import,UKRAINE,0.32,40000.0
2022-2023,Titanium-UnwroughtMetalPowders,81082000,Import,AUSTRIA,0.09,560.0
2022-2023,Titanium-UnwroughtMetalPowders,81082000,Import,CANADA,0.27,2260.0
2022-2023,Titanium-UnwroughtMetalPowders,81082000,Import,CHINA P RP,1.01,124670.0
2022-2023,Titanium-UnwroughtMetalPowders,81082000,Import,GERMANY,0.23,15425.0
2022-2023,Titanium-UnwroughtMetalPowders,81082000,Import,KAZAKHSTAN,3.02,290000.0
2022-2023,Titanium-UnwroughtMetalPowders,81082000,Import,NETHERLAND,1.06,87370.0
2022-2023,Titanium-UnwroughtMetalPowders,81082000,Import,RUSSIA,,
