Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,Copper,26030000,Import,AUSTRALIA,294.09,123723980.0
2018-2019,Copper,26030000,Import,BRAZIL,33.85,16569000.0
2018-2019,Copper,26030000,Import,CANADA,,
2018-2019,Copper,26030000,Import,CHILE,775.19,428117500.0
2018-2019,Copper,26030000,Import,CHINA P RP,,
2018-2019,Copper,26030000,Import,CONGO D. REP.,,
2018-2019,Copper,26030000,Import,CONGO P REP,,
2018-2019,Copper,26030000,Import,GEORGIA,,
2018-2019,Copper,26030000,Import,GERMANY,,
2018-2019,Copper,26030000,Import,INDONESIA,393.82,125780000.0
2018-2019,Copper,26030000,Import,LAO PD RP,,
2018-2019,Copper,26030000,Import,MADAGASCAR,0.03,27000.0
2018-2019,Copper,26030000,Import,MEXICO,,
2018-2019,Copper,26030000,Import,PAPUA N GNA,,
2018-2019,Copper,26030000,Import,PERU,154.4,68374192.0
2018-2019,Copper,26030000,Import,PHILIPPINES,27.61,10731050.0
2018-2019,Copper,26030000,Import,SAUDI ARAB,60.49,41280000.0
2018-2019,Copper,26030000,Import,THAILAND,14.1,9335000.0
2018-2019,Copper,26030000,Import,TURKEY,,
2018-2019,Copper,26030000,Import,U S A,0.0,45.0
2019-2020,Copper,26030000,Import,AUSTRALIA,87.16,71973000.0
2019-2020,Copper,26030000,Import,BRAZIL,,
2019-2020,Copper,26030000,Import,CANADA,37.12,20398000.0
2019-2020,Copper,26030000,Import,CHILE,794.02,520728000.0
2019-2020,Copper,26030000,Import,ETHIOPIA,0.01,25000.0
2019-2020,Copper,26030000,Import,INDONESIA,69.85,30150000.0
2019-2020,Copper,26030000,Import,MADAGASCAR,,
2019-2020,Copper,26030000,Import,NIGERIA,0.01,10000.0
2019-2020,Copper,26030000,Import,PANAMA REPUBLIC,32.87,29119000.0
2019-2020,Copper,26030000,Import,PERU,122.96,97175000.0
2019-2020,Copper,26030000,Import,PHILIPPINES,21.87,10659250.0
2019-2020,Copper,26030000,Import,SAUDI ARAB,43.94,31389000.0
