Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,Graphite,25041010,Import,AUSTRIA,,
2018-2019,Graphite,25041010,Import,BELGIUM,0.03,39701.0
2018-2019,Graphite,25041010,Import,BRAZIL,0.8,775000.0
2018-2019,Graphite,25041010,Import,CANADA,0.02,5850.0
2018-2019,Graphite,25041010,Import,CHINA P RP,4.54,5736310.0
2018-2019,Graphite,25041010,Import,CZECH REPUBLIC,,
2018-2019,Graphite,25041010,Import,DENMARK,,
2018-2019,Graphite,25041010,Import,FRANCE,0.02,2287.0
2018-2019,Graphite,25041010,Import,GERMANY,0.4,53580.0
2018-2019,Graphite,25041010,Import,JAPAN,0.05,9310.0
2018-2019,Graphite,25041010,Import,MADAGASCAR,1.28,1316000.0
2018-2019,Graphite,25041010,Import,MOZAMBIQUE,0.02,20000.0
2018-2019,Graphite,25041010,Import,NETHERLAND,,
2018-2019,Graphite,25041010,Import,SRI LANKA DSR,,
2018-2019,Graphite,25041010,Import,U K,0.09,91600.0
2018-2019,Graphite,25041010,Import,U S A,0.03,9156.0
2019-2020,Graphite,25041010,Import,AUSTRALIA,0.05,112000.0
2019-2020,Graphite,25041010,Import,BELGIUM,0.01,1250.0
2019-2020,Graphite,25041010,Import,BRAZIL,0.67,640000.0
2019-2020,Graphite,25041010,Import,CANADA,0.06,17550.0
2019-2020,Graphite,25041010,Import,CHINA P RP,2.55,3849950.0
2019-2020,Graphite,25041010,Import,FRANCE,0.03,2472.0
2019-2020,Graphite,25041010,Import,GERMANY,0.37,71047.0
2019-2020,Graphite,25041010,Import,ITALY,0.0,1814.0
2019-2020,Graphite,25041010,Import,JAPAN,0.03,5910.0
2019-2020,Graphite,25041010,Import,MADAGASCAR,2.1,2812130.0
2019-2020,Graphite,25041010,Import,MOZAMBIQUE,0.04,60000.0
2019-2020,Graphite,25041010,Import,U K,0.02,12000.0
2019-2020,Graphite,25041010,Import,U S A,0.09,37263.0
2020-2021,Graphite,25041010,Import,AUSTRALIA,,
2020-2021,Graphite,25041010,Import,AUSTRIA,0.02,12820.0
2020-2021,Graphite,25041010,Import,BELGIUM,0.01,1260.0
2020-2021,Graphite,25041010,Import,BRAZIL,0.08,80000.0
2020-2021,Graphite,25041010,Import,CANADA,0.07,17550.0
2020-2021,Graphite,25041010,Import,CHINA P RP,2.4,3592110.0
2020-2021,Graphite,25041010,Import,FRANCE,,
2020-2021,Graphite,25041010,Import,GERMANY,0.42,84879.0
2020-2021,Graphite,25041010,Import,ITALY,0.01,4536.0
2020-2021,Graphite,25041010,Import,JAPAN,0.04,12000.0
