Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct
2018-2019,Copper,26030000,Import,AUSTRALIA,294.09,123723980.0,16.77083452137912
2018-2019,Copper,26030000,Import,BRAZIL,33.85,16569000.0,1.9303367967244152
2018-2019,Copper,26030000,Import,CANADA,,,
2018-2019,Copper,26030000,Import,CHILE,775.19,428117500.0,44.20613829993499
2018-2019,Copper,26030000,Import,CHINA P RP,,,
2018-2019,Copper,26030000,Import,CONGO D. REP.,,,
2018-2019,Copper,26030000,Import,CONGO P REP,,,
2018-2019,Copper,26030000,Import,GEORGIA,,,
2018-2019,Copper,26030000,Import,GERMANY,,,
2018-2019,Copper,26030000,Import,INDONESIA,393.82,125780000.0,22.458057231492145
2018-2019,Copper,26030000,Import,LAO PD RP,,,
2018-2019,Copper,26030000,Import,MADAGASCAR,0.03,27000.0,0.0017107859350585656
2018-2019,Copper,26030000,Import,MEXICO,,,
2018-2019,Copper,26030000,Import,PAPUA N GNA,,,
2018-2019,Copper,26030000,Import,PERU,154.4,68374192.0,8.804844945768085
2018-2019,Copper,26030000,Import,PHILIPPINES,27.61,10731050.0,1.5744933222322333
2018-2019,Copper,26030000,Import,SAUDI ARAB,60.49,41280000.0,3.4495147070564216
2018-2019,Copper,26030000,Import,THAILAND,14.1,9335000.0,0.8040693894775259
2018-2019,Copper,26030000,Import,TURKEY,,,
2018-2019,Copper,26030000,Import,U S A,0.0,45.0,0.0
2023-2024,Copper,26030000,Import,AUSTRALIA,302.04,74457216.0,9.639953913079557
2023-2024,Copper,26030000,Import,BRAZIL,52.26,18672976.0,1.6679379933039917
2023-2024,Copper,26030000,Import,CANADA,135.68,38513580.0,4.330383217211741
2023-2024,Copper,26030000,Import,CHILE,673.47,281283940.0,21.494569467096046
2023-2024,Copper,26030000,Import,COLOMBIA,20.09,968824.0,0.6411954513103175
2023-2024,Copper,26030000,Import,INDONESIA,1109.42,324177250.0,35.40841501208026
2023-2024,Copper,26030000,Import,MALAYSIA,51.69,10228560.0,1.6497457878661181
2023-2024,Copper,26030000,Import,MEXICO,,,
2023-2024,Copper,26030000,Import,MOROCCO,0.04,229180.0,0.001276645995640254
2023-2024,Copper,26030000,Import,NAMIBIA,24.44,9460876.0,0.7800307033361952
2023-2024,Copper,26030000,Import,PANAMA REPUBLIC,134.6,60459772.0,4.295913775329454
2023-2024,Copper,26030000,Import,PAPUA N GNA,203.49,58935600.0,6.4946173413208825
2023-2024,Copper,26030000,Import,PERU,211.73,99396672.0,6.757606416422774
2023-2024,Copper,26030000,Import,PHILIPPINES,140.41,30590856.0,4.481346606196201
2023-2024,Copper,26030000,Import,SOUTH AFRICA,0.86,225000.0,0.02744788890626546
2023-2024,Copper,26030000,Import,TAIWAN,,,
2023-2024,Copper,26030000,Import,TANZANIA REP,72.99,8700619.0,2.329559780544553
2023-2024,Copper,26030000,Import,TURKEY,,,
2023-2024,Copper,26030000,Import,VIETNAM SOC REP,,,
2023-2024,Copper,26030000,Import,ZAMBIA,0.0,37.0,0.0
2024-2025,Copper,26030000,Import,AUSTRALIA,669.63,156092506.0,17.400218272528843
2024-2025,Copper,26030000,Import,BRAZIL,22.16,9132930.0,0.5758237189481343
