Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct,Unit_Price,Country_Risk_Raw,Strategic_Vulnerability_Score,Anomaly_Flag,HHI_Risk_Score
2018-2019,Cobalt-MattesIntermediates,75011000,Import,U ARAB EMTS,0.0,100.0,,0.0,4.2,0.0,1,0.0
2018-2019,Cobalt-MattesIntermediates,75011000,Import,U S A,0.0,23.0,,0.0,3.8,0.0,1,0.0
2019-2020,Cobalt-MattesIntermediates,75011000,Import,U ARAB EMTS,0.0,1.0,,0.0,4.2,0.0,1,0.0
2019-2020,Cobalt-MattesIntermediates,75011000,Import,U S A,0.0,3.0,,0.0,3.8,0.0,1,0.0
2020-2021,Cobalt-MattesIntermediates,75011000,Import,U K,0.01,100.0,100.0,0.0001,2.9,29.0,-1,0.0
2020-2021,Cobalt-MattesIntermediates,75011000,Import,U S A,0.0,1.0,0.0,0.0,3.8,0.0,1,0.0
2021-2022,Cobalt-MattesIntermediates,75011000,Import,U K,0.0,50.0,,0.0,2.9,0.0,1,0.0
2021-2022,Cobalt-MattesIntermediates,75011000,Import,U S A,0.0,3.0,,0.0,3.8,0.0,1,0.0
2022-2023,Cobalt-MattesIntermediates,75011000,Import,CHINA P RP,0.0,75.0,,0.0,5.3,0.0,1,0.0
2022-2023,Cobalt-MattesIntermediates,75011000,Import,U K,0.0,25.0,,0.0,2.9,0.0,1,0.0
2022-2023,Cobalt-MattesIntermediates,75011000,Import,U S A,0.0,1.0,,0.0,3.8,0.0,1,0.0
2023-2024,Cobalt-MattesIntermediates,75011000,Import,CHINA P RP,0.0,1.0,,0.0,5.3,0.0,1,0.0
2023-2024,Cobalt-MattesIntermediates,75011000,Import,SINGAPORE,0.0,1.0,,0.0,2.3,0.0,1,0.0
2023-2024,Cobalt-MattesIntermediates,75011000,Import,U K,0.0,1.0,,0.0,2.9,0.0,1,0.0
2024-2025,Cobalt-MattesIntermediates,75011000,Import,SINGAPORE,0.0,1.0,,0.0,2.3,0.0,1,0.0
2018-2019,Copper,26030000,Import,AUSTRALIA,294.09,123723980.0,16.77083452137912,2.3769846395177393e-06,1.6,2.683333523420659,1,2128.5687245437975
2018-2019,Copper,26030000,Import,BRAZIL,33.85,16569000.0,1.9303367967244152,2.042971814834933e-06,5.7,1.1002919741329167,1,2128.5687245437975
2018-2019,Copper,26030000,Import,CANADA,0.0,1.0,,0.0,1.5,0.0,1,2128.5687245437975
2018-2019,Copper,26030000,Import,CHILE,775.19,428117500.0,44.20613829993499,1.8106944939181417e-06,3.1,13.703902872979848,1,2128.5687245437975
2018-2019,Copper,26030000,Import,CHINA P RP,0.0,1.0,,0.0,5.3,0.0,1,2128.5687245437975
2018-2019,Copper,26030000,Import,CONGO D. REP.,0.0,1.0,,0.0,8.9,0.0,1,2128.5687245437975
2018-2019,Copper,26030000,Import,CONGO P REP,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2018-2019,Copper,26030000,Import,GEORGIA,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2018-2019,Copper,26030000,Import,GERMANY,0.0,1.0,,0.0,2.1,0.0,1,2128.5687245437975
2018-2019,Copper,26030000,Import,INDONESIA,393.82,125780000.0,22.458057231492145,3.1310224200985847e-06,5.4,12.127350905005759,1,2128.5687245437975
2018-2019,Copper,26030000,Import,LAO PD RP,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2018-2019,Copper,26030000,Import,MADAGASCAR,0.03,27000.0,0.0017107859350585,1.111111111111111e-06,6.6,0.00112911871713861,1,2128.5687245437975
2018-2019,Copper,26030000,Import,MEXICO,0.0,1.0,,0.0,5.8,0.0,1,2128.5687245437975
2018-2019,Copper,26030000,Import,PAPUA N GNA,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2018-2019,Copper,26030000,Import,PERU,154.4,68374192.0,8.804844945768085,2.258161968480739e-06,5.7,5.018761619087809,1,2128.5687245437975
2018-2019,Copper,26030000,Import,PHILIPPINES,27.61,10731050.0,1.5744933222322333,2.5729075905899235e-06,6.5,1.0234206594509516,1,2128.5687245437975
2018-2019,Copper,26030000,Import,SAUDI ARAB,60.49,41280000.0,3.4495147070564216,1.465358527131783e-06,5.5,1.8972330888810318,1,2128.5687245437975
2018-2019,Copper,26030000,Import,THAILAND,14.1,9335000.0,0.8040693894775259,1.5104445634708088e-06,5.8,0.466360245896965,1,2128.5687245437975
2018-2019,Copper,26030000,Import,TURKEY,0.0,1.0,,0.0,6.2,0.0,1,2128.5687245437975
2018-2019,Copper,26030000,Import,U S A,0.0,45.0,0.0,0.0,3.8,0.0,1,2128.5687245437975
2019-2020,Copper,26030000,Import,AUSTRALIA,87.16,71973000.0,7.113069735177705,1.2110096841871258e-06,1.6,1.1380911576284327,1,2128.5687245437975
2019-2020,Copper,26030000,Import,BRAZIL,0.0,1.0,,0.0,5.7,0.0,1,2128.5687245437975
2019-2020,Copper,26030000,Import,CANADA,37.12,20398000.0,3.0293385563308446,1.81978625355427e-06,1.5,0.45440078344962664,1,2128.5687245437975
2019-2020,Copper,26030000,Import,CHILE,794.02,520728000.0,64.79944505651447,1.524826780968183e-06,3.1,20.087827967519488,1,2128.5687245437975
2019-2020,Copper,26030000,Import,ETHIOPIA,0.01,25000.0,0.0008160933610805,4e-07,5.5,0.000448851348594275,1,2128.5687245437975
2019-2020,Copper,26030000,Import,INDONESIA,69.85,30150000.0,5.700412127147345,2.3167495854063018e-06,5.4,3.078222548659567,1,2128.5687245437975
2019-2020,Copper,26030000,Import,MADAGASCAR,0.0,1.0,,0.0,6.6,0.0,1,2128.5687245437975
2019-2020,Copper,26030000,Import,NIGERIA,0.01,10000.0,0.0008160933610805,1e-06,5.5,0.000448851348594275,1,2128.5687245437975
2019-2020,Copper,26030000,Import,PANAMA REPUBLIC,32.87,29119000.0,2.682498877871629,1.1288162368213193e-06,5.5,1.475374382829396,1,2128.5687245437975
2019-2020,Copper,26030000,Import,PERU,122.96,97175000.0,10.034683967845922,1.2653460252122459e-06,5.7,5.719769861672176,1,2128.5687245437975
2019-2020,Copper,26030000,Import,PHILIPPINES,21.87,10659250.0,1.78479618068307,2.0517390998428594e-06,6.5,1.1601175174439955,1,2128.5687245437975
2019-2020,Copper,26030000,Import,SAUDI ARAB,43.94,31389000.0,3.5859142285877508,1.399853451846188e-06,5.5,1.9722528257232628,1,2128.5687245437975
2019-2020,Copper,26030000,Import,TANZANIA REP,0.0,26.0,0.0,0.0,6.5,0.0,1,2128.5687245437975
2019-2020,Copper,26030000,Import,THAILAND,15.54,9929000.0,1.2682090831191088,1.5651122973109073e-06,5.8,0.7355612682090831,1,2128.5687245437975
2019-2020,Copper,26030000,Import,U S A,0.0,1.0,0.0,0.0,3.8,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,AUSTRALIA,0.0,1.0,,0.0,1.6,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,BOSNIA-HRZGOVIN,0.01,2000.0,0.0012552879002799,5e-06,5.5,0.000690408345153945,1,2128.5687245437975
2020-2021,Copper,26030000,Import,CANADA,39.25,20386000.0,4.927005008598722,1.9253409202393798e-06,1.5,0.7390507512898082,1,2128.5687245437975
2020-2021,Copper,26030000,Import,CHILE,391.62,245238000.0,49.15958475076258,1.5968977075330903e-06,3.1,15.2394712727364,1,2128.5687245437975
2020-2021,Copper,26030000,Import,ETHIOPIA,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,INDONESIA,289.29,119609000.0,36.31422366719808,2.418630705047279e-06,5.4,19.609680780286965,1,2128.5687245437975
2020-2021,Copper,26030000,Import,MALAYSIA,53.52,19821000.0,6.718300842298182,2.700166490086272e-06,4.5,3.023235379034182,1,2128.5687245437975
2020-2021,Copper,26030000,Import,NIGERIA,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
