HSN,Commodity,Country,Year,Month,Trade Type,Value (Rs Cr),Quantity,Unit
2603,Copper ores,Chile,2017,4,Import,1935.2465823520763,47585.001014085894,MT
2603,Copper ores,Australia,2017,4,Import,3686.770314875885,30334.265725654794,MT
2603,Copper ores,Indonesia,2017,4,Import,864.4913381679389,8643.73149647393,MT
2603,Copper ores,Peru,2017,4,Import,384.6096996241774,43442.631142971826,MT
2603,Copper ores,USA,2017,4,Import,3045.4635575417233,35695.55631200623,MT
2603,Copper ores,Chile,2017,4,Export,200.86402204943198,48525.58275593772,MT
2603,Copper ores,Australia,2017,4,Export,4178.968939922066,11404.616423235531,MT
2603,Copper ores,Indonesia,2017,4,Export,990.942339314793,9986.820982818257,MT
2603,Copper ores,Peru,2017,4,Export,1590.7869905017349,26713.065149979655,MT
2603,Copper ores,USA,2017,4,Export,2216.530591346367,15270.227869704053,MT
2530,Lithium ores,Australia,2017,4,Import,3098.0791841396594,7835.19917195005,MT
2530,Lithium ores,Chile,2017,4,Import,1531.5087778225688,18951.730321390893,MT
2530,Lithium ores,China,2017,4,Import,2334.742922663476,39473.62210825767,MT
2530,Lithium ores,Argentina,2017,4,Import,1078.4015325759628,26197.48748226697,MT
2530,Lithium ores,Zimbabwe,2017,4,Import,3002.831387424008,3276.0702232798885,MT
2530,Lithium ores,Australia,2017,4,Export,3076.969774317048,9355.682060677285,MT
2530,Lithium ores,Chile,2017,4,Export,418.75280562786963,47495.39132541333,MT
2530,Lithium ores,China,2017,4,Export,4831.59696206534,40611.470057706596,MT
2530,Lithium ores,Argentina,2017,4,Export,1592.6074689495163,5785.93358631281,MT
2530,Lithium ores,Zimbabwe,2017,4,Export,3452.741829909569,22567.472193240465,MT
2508,Graphite ores,China,2017,4,Import,697.9873507394162,25263.66859545224,MT
2508,Graphite ores,Madagascar,2017,4,Import,268.50375346457014,45556.69970186032,MT
2508,Graphite ores,Mozambique,2017,4,Import,1368.0219098400828,33463.59193334512,MT
2508,Graphite ores,Sri Lanka,2017,4,Import,1627.3842728381137,26483.33303771273,MT
2508,Graphite ores,Canada,2017,4,Import,2778.8803687820705,10057.868320750826,MT
2508,Graphite ores,China,2017,4,Export,4850.9646760463365,38981.508344694616,MT
2508,Graphite ores,Madagascar,2017,4,Export,4703.544813664526,44846.540170954795,MT
2508,Graphite ores,Mozambique,2017,4,Export,3029.7098961743172,46171.83751613273,MT
2508,Graphite ores,Sri Lanka,2017,4,Export,533.6132600544056,10603.160258538115,MT
2508,Graphite ores,Canada,2017,4,Export,321.61371566163655,16941.18620739995,MT
2603,Copper ores,Chile,2017,5,Import,2004.518719478462,14296.1025569209,MT
2603,Copper ores,Australia,2017,5,Import,4160.813794844454,18480.913007985873,MT
2603,Copper ores,Indonesia,2017,5,Import,1476.5790974681656,27592.108074754175,MT
2603,Copper ores,Peru,2017,5,Import,790.5287023763369,40307.65205694795,MT
2603,Copper ores,USA,2017,5,Import,465.298154030877,49357.459893425344,MT
2603,Copper ores,Chile,2017,5,Export,3883.9993695536214,10737.068395174449,MT
2603,Copper ores,Australia,2017,5,Export,127.05837390565176,40957.609994286875,MT
2603,Copper ores,Indonesia,2017,5,Export,3563.600984853324,36721.351234008376,MT
2603,Copper ores,Peru,2017,5,Export,3879.2246987611343,4628.187934970428,MT
2603,Copper ores,USA,2017,5,Export,1856.4820698669357,6677.583916731356,MT
2530,Lithium ores,Australia,2017,5,Import,4329.206786790408,31541.60821455034,MT
2530,Lithium ores,Chile,2017,5,Import,1721.400321777981,4114.359164015158,MT
2530,Lithium ores,China,2017,5,Import,1623.8133764067447,16933.982779310605,MT
2530,Lithium ores,Argentina,2017,5,Import,3675.0702738565137,32240.316096405444,MT
2530,Lithium ores,Zimbabwe,2017,5,Import,4447.342438624,24138.531332935516,MT
2530,Lithium ores,Australia,2017,5,Export,686.0118050976783,35948.99457392676,MT
2530,Lithium ores,Chile,2017,5,Export,3827.8467382227973,28502.582680905314,MT
