Project_ID,Mineral,State,Latitude,Longitude,Stage,Confidence
GSI-2025-1000,RareEarthMetal-Compounds,Jammu & Kashmir,21.46195234081481,79.78936902542564,G3 (Prospecting),54.65828711058671
GSI-2025-1001,LithiumCarbonate,Jharkhand,18.503050581108294,78.21136560868902,G4 (Recon),91.71748698992197
GSI-2025-1002,Titanium-Ores,Karnataka,19.902152758658282,77.77005284813896,G4 (Recon),77.20460908558078
GSI-2025-1003,Titanium-UnwroughtMetalPowders,Odisha,24.96192130907749,72.12350593512626,G2 (General),54.22571166960069
GSI-2025-1004,Titanium-TitaniumDioxide,Karnataka,27.3194008614932,78.77344481305465,G2 (General),79.46227835083603
GSI-2025-1005,Titanium-TitaniumDioxide,Jammu & Kashmir,14.37618183799809,71.5772347525394,G2 (General),38.4160698386809
GSI-2025-1006,Titanium-TitaniumDioxide,Jammu & Kashmir,22.00341330287631,82.55951331569172,G3 (Prospecting),76.01008935507491
GSI-2025-1007,Titanium-TitaniumDioxide,Rajasthan,15.068614944936257,83.27819594574107,G3 (Prospecting),75.44029257461443
GSI-2025-1008,Cobalt-MattesIntermediates,Madhya Pradesh,14.625706999000961,72.74380938965913,G2 (General),94.65129621445071
GSI-2025-1009,Copper,Madhya Pradesh,25.235960244189144,86.90246830016305,G4 (Recon),90.92892503469339
GSI-2025-1010,LithiumHydroxide,Jharkhand,17.015908189032146,73.67542439680805,G2 (General),23.23790175914069
GSI-2025-1011,Copper,Jammu & Kashmir,15.866278297594114,85.9287931896995,G4 (Recon),82.61396808024344
GSI-2025-1012,Cobalt-MattesIntermediates,Tamil Nadu,19.580456505368158,71.2806062706825,G3 (Prospecting),39.04495772178642
GSI-2025-1013,Lithium (Carbonate),Chhattisgarh,14.59859583892281,76.8820817219185,G2 (General),27.668675383793676
GSI-2025-1014,Graphite-NaturalGraphite,Jharkhand,22.02182294984105,71.7954216652774,G2 (General),41.78504686484993
GSI-2025-1015,RareEarthMetal-Compounds,Chhattisgarh,17.94130543221854,75.51994950461935,G4 (Recon),62.2865887975658
GSI-2025-1016,Titanium-TitaniumDioxide,Madhya Pradesh,12.61038735853003,72.16706185536951,G3 (Prospecting),49.9270587320747
GSI-2025-1017,Titanium-TitaniumDioxide,Madhya Pradesh,28.283653932677844,81.7701285061507,G2 (General),22.72638833168711
GSI-2025-1018,Titanium-UnwroughtMetalPowders,Karnataka,13.21125494240703,81.77986765734607,G4 (Recon),71.51842975510664
