Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2018-2019,Lithium (Carbonate),28369100,Import,ARGENTINA,0.42,26000.0
2018-2019,Lithium (Carbonate),28369100,Import,AUSTRIA,0.32,8500.0
2018-2019,Lithium (Carbonate),28369100,Import,BELGIUM,2.42,229200.0
2018-2019,Lithium (Carbonate),28369100,Import,CHILE,3.99,238000.0
2018-2019,Lithium (Carbonate),28369100,Import,CHINA P RP,2.02,172033.0
2018-2019,Lithium (Carbonate),28369100,Import,FRANCE,0.06,110000.0
2018-2019,Lithium (Carbonate),28369100,Import,GERMANY,0.0,147.0
2018-2019,Lithium (Carbonate),28369100,Import,IRELAND,0.24,440000.0
2018-2019,Lithium (Carbonate),28369100,Import,ITALY,0.03,1400.0
2018-2019,Lithium (Carbonate),28369100,Import,JAPAN,,
2018-2019,Lithium (Carbonate),28369100,Import,SINGAPORE,0.13,3531.0
2018-2019,Lithium (Carbonate),28369100,Import,SLOVENIA,0.6,14500.0
2018-2019,Lithium (Carbonate),28369100,Import,U K,0.38,160002.0
2018-2019,Lithium (Carbonate),28369100,Import,U S A,4.86,130411.0
2023-2024,Lithium (Carbonate),28369100,Import,ARGENTINA,3.78,95000.0
2023-2024,Lithium (Carbonate),28369100,Import,BELGIUM,4.66,166860.0
2023-2024,Lithium (Carbonate),28369100,Import,BRAZIL,1.73,28600.0
2023-2024,Lithium (Carbonate),28369100,Import,CHILE,0.37,13600.0
2023-2024,Lithium (Carbonate),28369100,Import,CHINA P RP,3.96,126032.0
2023-2024,Lithium (Carbonate),28369100,Import,GERMANY,1.62,38010.0
2023-2024,Lithium (Carbonate),28369100,Import,HONG KONG,0.0,1.0
2023-2024,Lithium (Carbonate),28369100,Import,IRELAND,0.23,400000.0
2023-2024,Lithium (Carbonate),28369100,Import,JAPAN,0.04,380.0
2023-2024,Lithium (Carbonate),28369100,Import,NETHERLAND,0.12,200000.0
2023-2024,Lithium (Carbonate),28369100,Import,SINGAPORE,0.02,300.0
2023-2024,Lithium (Carbonate),28369100,Import,SLOVENIA,1.1,5000.0
2023-2024,Lithium (Carbonate),28369100,Import,U K,0.73,20000.0
2023-2024,Lithium (Carbonate),28369100,Import,U S A,6.26,52300.0
2024-2025,Lithium (Carbonate),28369100,Import,ARGENTINA,,
2024-2025,Lithium (Carbonate),28369100,Import,BELGIUM,0.98,75600.0
2024-2025,Lithium (Carbonate),28369100,Import,BRAZIL,0.02,300.0
2024-2025,Lithium (Carbonate),28369100,Import,CANADA,0.72,8000.0
2024-2025,Lithium (Carbonate),28369100,Import,CHILE,1.61,147000.0
2024-2025,Lithium (Carbonate),28369100,Import,CHINA P RP,3.26,222552.0
2024-2025,Lithium (Carbonate),28369100,Import,GERMANY,1.11,88665.0
2024-2025,Lithium (Carbonate),28369100,Import,HONG KONG,0.0,1.0
2024-2025,Lithium (Carbonate),28369100,Import,IRELAND,0.22,400000.0
2024-2025,Lithium (Carbonate),28369100,Import,ITALY,0.01,500.0
2024-2025,Lithium (Carbonate),28369100,Import,JAPAN,0.07,1379.0
2024-2025,Lithium (Carbonate),28369100,Import,NETHERLAND,,
2024-2025,Lithium (Carbonate),28369100,Import,SINGAPORE,,
2024-2025,Lithium (Carbonate),28369100,Import,SLOVENIA,,
2024-2025,Lithium (Carbonate),28369100,Import,THAILAND,0.02,200.0
2024-2025,Lithium (Carbonate),28369100,Import,U ARAB EMTS,0.0,41.0
2024-2025,Lithium (Carbonate),28369100,Import,U K,0.29,20000.0
2024-2025,Lithium (Carbonate),28369100,Import,U S A,3.97,42456.0
2024-2025,Lithium (Carbonate),28369100,Import,ZIMBABWE,0.0,145.0
