Date,Value_USD,Unit_Price,Mineral
2018-04-01,149.76095001848935,1.8733645349565933e-05,Copper
2018-05-01,147.02433302967427,1.8998621597810686e-05,Copper
2018-06-01,154.8204695190414,2.06292065926936e-05,Copper
2018-07-01,163.44602324849916,2.2419806422908536e-05,Copper
2018-08-01,151.99568190470006,2.1430663091288613e-05,Copper
2018-09-01,153.88952882308368,2.2271936123741974e-05,Copper
2018-10-01,170.0750372778471,2.5233630022719728e-05,Copper
2018-11-01,165.66674467837126,2.516826130458388e-05,Copper
2018-12-01,157.67080130570776,2.450047784132956e-05,Copper
2019-01-01,167.80913440904732,2.6644357922127007e-05,Copper
2019-02-01,161.46320490409215,2.6171069408312953e-05,Copper
2019-03-01,163.3156288183998,2.6999370594766202e-05,Copper
2019-04-01,171.17159950798708,2.8839028487576115e-05,Copper
2019-05-01,154.67912201411076,2.6538211203200927e-05,Copper
2019-06-01,158.0409054018006,2.759239694605063e-05,Copper
2019-07-01,169.95748603534142,3.017506811393079e-05,Copper
2019-08-01,167.83718479607543,3.0283758310755444e-05,Copper
2019-09-01,181.5141622261464,3.326498922711554e-05,Copper
2019-10-01,172.42194152105884,3.207606908508999e-05,Copper
2019-11-01,169.64857458130254,3.201994964276102e-05,Copper
2019-12-01,197.9720140495606,3.789123179629992e-05,Copper
2020-01-01,184.26696866620304,3.574713392905546e-05,Copper
2020-02-01,188.9227620253707,3.71314537247183e-05,Copper
2020-03-01,176.65359873012764,3.5160838676861075e-05,Copper
2020-04-01,186.89001102763527,3.76553212073559e-05,Copper
2020-05-01,195.111632041864,3.977957140134626e-05,Copper
2020-06-01,184.6746849965646,3.808572365576672e-05,Copper
2020-07-01,201.58471852784672,4.203772024868711e-05,Copper
2020-08-01,193.78404611154835,4.084906693467955e-05,Copper
2020-09-01,198.75836433760128,4.233841517303727e-05,Copper
2020-10-01,197.4903878008823,4.249804040699735e-05,Copper
2020-11-01,224.56756207152688,4.8804318278596094e-05,Copper
2020-12-01,207.30855656676093,4.548798916085969e-05,Copper
2021-01-01,198.2923413262418,4.3917629313789177e-05,Copper
2021-02-01,219.97026097769736,4.9163224428419855e-05,Copper
2021-03-01,200.18300285893721,4.5137926668017445e-05,Copper
2021-04-01,217.35963213280954,4.943450716521004e-05,Copper
2021-05-01,195.76402577838255,4.489769929540463e-05,Copper
2021-06-01,204.4054561384705,4.726399066731367e-05,Copper
2021-07-01,223.03557962267814,5.198394410048628e-05,Copper
2021-08-01,231.00347496050446,5.426061202233361e-05,Copper
2021-09-01,226.61920118921176,5.363535663432712e-05,Copper
2021-10-01,225.29972998786553,5.3718482256207587e-05,Copper
2021-11-01,225.0857313995028,5.4055871065966654e-05,Copper
2021-12-01,213.40668191463766,5.161320270934852e-05,Copper
2022-01-01,223.99544414217712,5.4547968541980576e-05,Copper
2022-02-01,228.87889407865103,5.6112935068056446e-05,Copper
2022-03-01,248.6749769336266,6.136783790523533e-05,Copper
2022-04-01,242.19789600371388,6.015428232440732e-05,Copper
2022-05-01,218.86462994957847,5.4701262941441295e-05,Copper
2022-06-01,245.85973808040876,6.182654842945495e-05,Copper
2022-07-01,239.16023753398503,6.050407164147342e-05,Copper
2022-08-01,237.45320058052354,6.0426274232389e-05,Copper
2022-09-01,255.2630004992313,6.533317566933782e-05,Copper
2022-10-01,262.4709926114893,6.75574122755672e-05,Copper
2022-11-01,263.2318514560613,6.81279424204975e-05,Copper
2022-12-01,242.80181628681044,6.318076040724497e-05,Copper
2023-01-01,251.40446927235,6.576645922265046e-05,Copper
2023-02-01,261.52971054296825,6.877094257380826e-05,Copper
2023-03-01,271.8269981625924,7.184298001166413e-05,Copper
2023-04-01,254.84519369266985,6.769127185031477e-05,Copper
2023-05-01,263.5975402115298,6.680574197103565e-05,Copper
2023-06-01,256.04130657396394,6.188670676114495e-05,Copper
2023-07-01,259.49293620622973,5.9786065195019976e-05,Copper
2023-08-01,292.38187838731847,6.417354592605626e-05,Copper
2023-09-01,305.3235640170793,6.379859082065954e-05,Copper
2023-10-01,289.85302794806984,5.761765270027185e-05,Copper
2023-11-01,310.71262798081773,5.870979414910166e-05,Copper
2023-12-01,306.2732246772585,5.4959633412415583e-05,Copper
2024-01-01,295.93632056542356,5.038302151025096e-05,Copper
2024-02-01,316.3822934488388,5.104721341792814e-05,Copper
2024-03-01,340.01387871412527,5.192820942300887e-05,Copper
2024-04-01,320.1255294628719,4.621589743605161e-05,Copper
2024-05-01,345.78906102097756,4.992089136242275e-05,Copper
2024-06-01,278.69238725592095,4.023427562068848e-05,Copper
2024-07-01,333.8792066576567,4.8201488949697064e-05,Copper
2024-08-01,322.09579973919904,4.6500341507615724e-05,Copper
2024-09-01,315.9054171352798,4.5606648061820635e-05,Copper
2024-10-01,322.17138405174677,4.6511253467190896e-05,Copper
2024-11-01,288.82933245437465,4.16977266000361e-05,Copper
2024-12-01,317.1775612785255,4.5790305027095366e-05,Copper
2025-01-01,326.42630008419087,4.7125527384314564e-05,Copper
2025-02-01,344.3980310074302,4.9720071076254255e-05,Copper
2025-03-01,312.38953704998204,4.509906732093998e-05,Copper
2025-04-01,307.7358050776077,4.442721712551509e-05,Copper
2018-04-01,0.6217336626413407,3.4650719062390125e-05,Graphite
2018-05-01,0.6025002352751668,3.379900475380241e-05,Graphite
2018-06-01,0.6263705736794379,3.536699548067313e-05,Graphite
2018-07-01,0.6529549182687785,3.710664556810006e-05,Graphite
2018-08-01,0.5996738245590881,3.429786268381253e-05,Graphite
2018-09-01,0.5997017752436737,3.451856927612723e-05,Graphite
2018-10-01,0.6547492821771866,3.792627777672858e-05,Graphite
2018-11-01,0.6301474257330605,3.67314075306829e-05,Graphite
2018-12-01,0.592642949466796,3.476173430944623e-05,Graphite
2019-01-01,0.6233811033226524,3.679237042172338e-05,Graphite
2019-02-01,0.5928810047389551,3.520875096574398e-05,Graphite
2019-03-01,0.5928379710482448,3.5422676640404264e-05,Graphite
2019-04-01,0.6143435549420291,3.693197106349509e-05,Graphite
2019-05-01,0.5489570650187404,3.320160782338963e-05,Graphite
2019-06-01,0.5546995079003614,3.37514169115658e-05,Graphite
2019-07-01,0.5900155639561646,3.611564029806061e-05,Graphite
2019-08-01,0.5763660597694039,3.5490506006722783e-05,Graphite
2019-09-01,0.6166784777062984,3.8197859979003394e-05,Graphite
2019-10-01,0.5796005691073018,3.6112718461040975e-05,Graphite
2019-11-01,0.5643172963784886,3.5366391385884924e-05,Graphite
2019-12-01,0.6517209473453127,4.108186232030972e-05,Graphite
2020-01-01,0.6003948670764775,3.80655132607852e-05,Graphite
2020-02-01,0.609328196681788,3.8854172477840716e-05,Graphite
2020-03-01,0.5640426811177989,3.6172255132274545e-05,Graphite
2020-04-01,0.5908022445985852,3.8103836752835326e-05,Graphite
2020-05-01,0.6107296144777864,3.9611783116804094e-05,Graphite
2020-06-01,0.5724338533834499,3.7336672595092966e-05,Graphite
2020-07-01,0.6188269285655066,4.058827539243949e-05,Graphite
2020-08-01,0.5892017126789659,3.8860004438915e-05,Graphite
2020-09-01,0.5986124297024594,3.96989057691214e-05,Graphite
2020-10-01,0.589223161653532,3.929101388697225e-05,Graphite
2020-11-01,0.6637933002408264,4.4505503186602745e-05,Graphite
2020-12-01,0.6071455398618498,4.092870796636839e-05,Graphite
2021-01-01,0.5754509567374271,3.900183220691651e-05,Graphite
2021-02-01,0.6326004825102016,4.310572067860179e-05,Graphite
2021-03-01,0.5705472849401164,3.908526869307901e-05,Graphite
2021-04-01,0.6140126388948945,4.2286558445567236e-05,Graphite
2021-05-01,0.5481504120831696,3.795036727484857e-05,Graphite
2021-06-01,0.5673638133641667,3.948724618035924e-05,Graphite
2021-07-01,0.6137321208049729,4.2937913888497246e-05,Graphite
2021-08-01,0.630218956625416,4.4320887249917914e-05,Graphite
2021-09-01,0.6130134852232191,4.333412746252677e-05,Graphite
2021-10-01,0.6043185892844174,4.293953109009138e-05,Graphite
2021-11-01,0.5987096497630827,4.275897734730953e-05,Graphite
2021-12-01,0.5629500343927766,4.041002517519273e-05,Graphite
2022-01-01,0.5860364020823359,4.228055818085072e-05,Graphite
2022-02-01,0.5939423053594084,4.306713393447312e-05,Graphite
2022-03-01,0.6401072696739631,4.6647558688568345e-05,Graphite
2022-04-01,0.6184459960028812,4.529407156154452e-05,Graphite
2022-05-01,0.5544289083878682,4.080730802420556e-05,Graphite
2022-06-01,0.6179086084584057,4.570440019593804e-05,Graphite
2022-07-01,0.5963752274991756,4.4328633943501406e-05,Graphite
2022-08-01,0.5875289216240305,4.3884826829624585e-05,Graphite
2022-09-01,0.6267380958216571,4.7041495977175954e-05,Graphite
2022-10-01,0.6395176438132311,4.8233309410103716e-05,Graphite
2022-11-01,0.636514414177846,4.8238298593894627e-05,Graphite
2022-12-01,0.5827006848771071,4.4371926386825025e-05,Graphite
2023-01-01,0.5988460786194248,4.581913524880765e-05,Graphite
