Mineral,Value_USD,Reserves,Sovereignty_Index,Priority_Level
Cobalt-MattesIntermediates,0.0,627.432889510324,6274.32889510324,P3 (Monitor)
Copper,3848.4,345.18663998129847,0.8967284251605405,P1 (Critical)
Graphite,7.3,393.66484708377715,474.29499648647845,P3 (Monitor)
Graphite-ArtificialGraphite,58.46,648.7136739925403,109.10085334553317,P3 (Monitor)
Graphite-NaturalGraphite,11.01,276.86787210754915,230.53111749171453,P3 (Monitor)
Lithium (Carbonate),12.280000000000001,647.1752106260005,487.33073089307265,P3 (Monitor)
LithiumCarbonate,1.28,634.7847374244955,2784.1435851951555,P3 (Monitor)
LithiumHydroxide,23.29,159.6107523607202,65.71047853467279,P3 (Monitor)
RareEarthMetal-Compounds,1.28,433.74707650658337,1902.3994583622075,P3 (Monitor)
RareEarthMetal-FerroAlloys,2.31,277.17236453003653,837.3787448037358,P3 (Monitor)
Titanium-Ores,17.11,321.5630994727074,177.56107094020285,P3 (Monitor)
Titanium-TitaniumDioxide,58.269999999999996,397.0594219309224,66.99163521696009,P3 (Monitor)
Titanium-UnwroughtMetalPowders,14.42,121.01825776146167,78.48136041599331,P3 (Monitor)
