State,Mineral,Reserves,Status
Rajasthan,Cobalt-MattesIntermediates,469.03934270626485,Active
Odisha,Cobalt-MattesIntermediates,124.37960565816648,Developing
J&K,Cobalt-MattesIntermediates,34.013941145892694,Exploration
Rajasthan,Copper,256.90688347990016,Active
Odisha,Copper,77.82530701370011,Developing
J&K,Copper,10.454449487698191,Exploration
Rajasthan,Graphite-ArtificialGraphite,457.57724569465364,Active
Odisha,Graphite-ArtificialGraphite,155.48283125792835,Developing
J&K,Graphite-ArtificialGraphite,35.65359703995831,Exploration
Rajasthan,Graphite-NaturalGraphite,214.4761960131529,Active
Odisha,Graphite-NaturalGraphite,15.74742703237907,Developing
J&K,Graphite-NaturalGraphite,46.64424906201716,Exploration
Rajasthan,Graphite,265.95461233720994,Active
Odisha,Graphite,109.63166565072498,Developing
J&K,Graphite,18.0785690958422,Exploration
Rajasthan,LithiumCarbonate,498.7978808333274,Active
Odisha,LithiumCarbonate,104.58958771193072,Developing
J&K,LithiumCarbonate,31.397268879237316,Exploration
Rajasthan,LithiumHydroxide,78.23502346043287,Active
Odisha,LithiumHydroxide,74.73136428164632,Developing
J&K,LithiumHydroxide,6.644364618641004,Exploration
Rajasthan,Lithium (Carbonate),479.31360121415656,Active
Odisha,Lithium (Carbonate),120.1852931535499,Developing
J&K,Lithium (Carbonate),47.67631625829405,Exploration
Rajasthan,RareEarthMetal-Compounds,279.9958453945193,Active
Odisha,RareEarthMetal-Compounds,143.89926972797116,Developing
J&K,RareEarthMetal-Compounds,9.85196138409292,Exploration
Rajasthan,RareEarthMetal-FerroAlloys,154.50927728641858,Active
Odisha,RareEarthMetal-FerroAlloys,106.32976387493537,Developing
J&K,RareEarthMetal-FerroAlloys,16.33332336868257,Exploration
Rajasthan,Titanium-Ores,260.74476797991656,Active
Odisha,Titanium-Ores,50.67964502264117,Developing
J&K,Titanium-Ores,10.138686470149672,Exploration
Rajasthan,Titanium-TitaniumDioxide,195.3963813854507,Active
Odisha,Titanium-TitaniumDioxide,181.6892025293807,Developing
J&K,Titanium-TitaniumDioxide,19.973838016091005,Exploration
Rajasthan,Titanium-UnwroughtMetalPowders,51.23923971342484,Active
Odisha,Titanium-UnwroughtMetalPowders,37.63374963767774,Developing
J&K,Titanium-UnwroughtMetalPowders,32.145268410359094,Exploration
